NR_046018.2	DDX11L1
NM_152945.3	RBM45
NM_001201481.1	OSBPL6
NM_001201482.1	OSBPL6
NM_032523.3	OSBPL6
NM_001201480.1	OSBPL6
NM_145739.2	OSBPL6
NR_110206.1	LOC101927027
NR_110205.1	LOC101927027
NR_110204.1	LOC101927027
NM_001139518.1	PRKRA
NM_001139517.1	PRKRA
NM_003690.4	PRKRA
NM_001316362.1	PRKRA
NM_001042702.3	DFNB59
NM_181342.2	FKBP7
NM_001135212.1	FKBP7
NM_019091.3	PLEKHA3
NR_038272.1	TTN-AS1
NR_038271.1	TTN-AS1
NM_001267550.2	TTN
NM_001256850.1	TTN
NM_133378.4	TTN
NM_133432.3	TTN
NM_133437.4	TTN
NM_003319.4	TTN
NM_133379.4	TTN
NR_120594.1	LOC101927055
NM_173648.3	CCDC141
NM_001316745.1	CCDC141
NM_178123.4	SESTD1
NM_001113398.1	ZNF385B
NR_104234.1	ZNF385B
NM_001282725.1	ZNF385B
NM_001113397.1	ZNF385B
NM_152520.4	ZNF385B
NR_031659.1	MIR1258
NM_020943.2	CWC22
NR_104321.1	SCHLAP1
NR_104320.1	SCHLAP1
NR_104319.1	SCHLAP1
NR_104323.1	SCHLAP1
NR_104324.1	SCHLAP1
NR_104325.1	SCHLAP1
NR_104322.1	SCHLAP1
NM_001278555.1	UBE2E3
NM_182678.2	UBE2E3
NM_006357.3	UBE2E3
NM_001278554.1	UBE2E3
NR_130784.1	LINC01934
NR_039637.1	MIR4437
NM_001316312.1	ITGA4
NM_000885.5	ITGA4
NM_001030311.2	CERKL
NM_201548.4	CERKL
NR_027690.1	CERKL
NM_001030313.2	CERKL
NM_001160277.1	CERKL
NR_027689.1	CERKL
NM_001030312.2	CERKL
NM_002500.4	NEUROD1
NM_001287505.1	SSFA2
NM_001287504.1	SSFA2
NM_001287503.1	SSFA2
NM_006751.6	SSFA2
NM_001130445.2	SSFA2
NR_109843.1	SSFA2
NR_048567.1	PPP1R1C
NM_001080545.2	PPP1R1C
NM_001261425.1	PPP1R1C
NR_048566.1	PPP1R1C
NM_001261424.1	PPP1R1C
NM_005019.4	PDE1A
NM_001258312.1	PDE1A
NM_001258314.1	PDE1A
NM_001258313.1	PDE1A
NM_001003683.2	PDE1A
NR_073367.1	DNAJC10
NM_001271581.1	DNAJC10
NM_018981.2	DNAJC10
NR_073365.1	DNAJC10
NR_073366.1	DNAJC10
NM_001463.3	FRZB
NM_205842.2	NCKAP1
NM_013436.4	NCKAP1
NR_135688.1	DUSP19
NM_001142314.1	DUSP19
NM_001321519.1	DUSP19
NM_080876.3	DUSP19
NM_001287584.1	NUP35
NR_109856.1	NUP35
NM_138285.4	NUP35
NM_001287585.1	NUP35
NR_039638.1	MIR548AE1
NM_194250.1	ZNF804A
NR_136319.1	LOC105373782
NR_110216.1	LOC101927196
NR_110215.1	LOC101927196
NR_110214.1	LOC101927196
NR_110217.1	LOC101927196
NM_173651.3	FSIP2
NR_144453.1	FSIP2-AS1
NR_144454.1	FSIP2-AS1
NR_110218.1	LINC01473
NM_018471.2	ZC3H15
NM_001145000.2	ITGAV
NM_002210.4	ITGAV
NM_001144999.2	ITGAV
NM_177454.3	FAM171B
NM_182521.2	ZSWIM2
NM_005795.5	CALCRL
NM_001271751.1	CALCRL
NM_001329239.1	TFPI
NM_001329241.1	TFPI
NM_001329240.1	TFPI
NM_006287.5	TFPI
NM_001318941.2	TFPI
NM_001032281.3	TFPI
NR_126396.1	LINC01090
NM_001252669.1	GULP1
NM_016315.3	GULP1
NM_001252668.1	GULP1
NR_045562.1	GULP1
NR_045563.1	GULP1
NR_030287.1	MIR561
NM_052952.2	DIRC1
NM_000090.3	COL3A1
NR_031647.1	MIR1245A
NR_039947.1	MIR1245B
NR_037401.1	MIR3606
NM_000393.4	COL5A2
NR_036076.1	MIR3129
NM_032168.2	WDR75
NM_001303096.1	WDR75
NM_014585.5	SLC40A1
NM_019048.2	ASNSD1
NM_144708.3	ANKAR
NM_022353.2	OSGEPL1
NR_102429.1	OSGEPL1-AS1
NM_016467.4	ORMDL1
NM_001128150.1	ORMDL1
NM_001321051.1	PMS1
NM_001321049.1	PMS1
NR_110332.1	PMS1
NM_001321048.1	PMS1
NM_001289409.1	PMS1
NM_001321046.1	PMS1
NM_001289408.1	PMS1
NM_001321044.1	PMS1
NM_001128143.1	PMS1
NM_001128144.1	PMS1
NM_000534.4	PMS1
NM_001321045.1	PMS1
NM_001321047.1	PMS1
NM_005259.2	MSTN
NM_001042521.1	C2orf88
NM_001042520.1	C2orf88
NM_001042519.1	C2orf88
NM_032321.2	C2orf88
NM_014362.3	HIBCH
NM_198047.2	HIBCH
NM_002194.3	INPP1
NM_001128928.1	INPP1
NM_017694.3	MFSD6
NM_001142645.1	NEMP2
NR_136298.1	NEMP2
NM_001321313.1	NAB1
NM_001321312.1	NAB1
NM_005966.3	NAB1
NM_001321315.1	NAB1
NM_001321314.1	NAB1
NM_001256310.1	GLS
NM_014905.4	GLS
NM_007315.3	STAT1
NM_139266.2	STAT1
NR_136318.1	LOC105373805
NM_003151.3	STAT4
NM_001243835.1	STAT4
NM_001161819.2	MYO1B
NM_012223.4	MYO1B
NM_001330237.1	MYO1B
NM_001330238.1	MYO1B
NM_001130158.2	MYO1B
NM_001254736.1	NABP1
NR_045622.1	NABP1
NM_001031716.2	NABP1
NR_045623.1	NABP1
NR_131917.1	LOC105747689
NM_004657.5	SDPR
NM_001305134.1	TMEFF2
NM_016192.3	TMEFF2
NM_001305145.1	TMEFF2
NR_002769.1	PCGEM1
NR_110222.1	LINC01821
NR_110223.1	LINC01790
NM_001127257.1	SLC39A10
NM_020342.2	SLC39A10
NM_018897.2	DNAH7
NM_004226.3	STK17B
NM_001304840.1	HECW2
NM_020760.2	HECW2
NR_110225.1	LOC101927482
NR_110226.1	LOC101927482
NM_001080539.1	CCDC150
NR_034036.1	LOC100130452
NM_012086.4	GTF3C3
NM_001206774.1	GTF3C3
NM_213608.2	C2orf66
NM_024989.3	PGAP1
NM_001321099.1	PGAP1
NM_001321100.1	PGAP1
NM_001195144.1	ANKRD44
NM_153697.2	ANKRD44
NR_135584.1	LOC101927596
NR_046837.1	ANKRD44-IT1
NM_012433.3	SF3B1
NM_001308824.1	SF3B1
NM_001005526.2	SF3B1
NM_001320818.1	COQ10B
NM_025147.4	COQ10B
NM_001320819.1	COQ10B
NM_001320820.1	COQ10B
NM_002156.4	HSPD1
NM_199440.1	HSPD1
NR_132788.1	SNORA105B
NM_002157.2	HSPE1
NM_001202485.1	HSPE1-MOB4
NM_199482.3	MOB4
NM_001100819.2	MOB4
NM_015387.4	MOB4
NM_001204094.1	MOB4
NM_144629.2	RFTN2
NM_138395.3	MARS2
NM_001284361.1	BOLL
NM_001284362.1	BOLL
NM_033030.5	BOLL
NM_197970.2	BOLL
NM_001284358.1	BOLL
NM_006226.3	PLCL1
NR_110267.1	LINC01923
NM_001172509.1	SATB2
NM_001172517.1	SATB2
NM_015265.3	SATB2
NR_134967.1	SATB2
NR_026830.1	SATB2-AS1
NR_110270.1	LINC01877
NR_034096.1	FTCDNL1
NM_153689.5	C2orf69
NM_001039693.2	TYW5
NR_109905.1	TYW5
NR_004862.1	TYW5
NR_109906.1	TYW5
NR_109907.1	TYW5
NM_024520.2	MAIP1
NM_015535.2	SPATS2L
NM_001282743.1	SPATS2L
NM_001282735.1	SPATS2L
NM_001100424.1	SPATS2L
NM_001100422.1	SPATS2L
NM_001100423.1	SPATS2L
NM_001282744.1	SPATS2L
NM_152387.3	KCTD18
NM_001321550.1	KCTD18
NM_001321547.1	KCTD18
NM_001321548.1	KCTD18
NM_001160046.1	SGO2
NM_001160033.1	SGO2
NM_152524.5	SGO2
NM_001159.3	AOX1
NR_135012.1	AOX3P-AOX2P
NR_135011.1	AOX3P-AOX2P
NR_037886.1	LINC01792
NR_110275.1	LOC101927795
NM_014670.3	BZW1
NM_001207067.1	BZW1
NM_001321690.1	BZW1
NM_001321694.1	BZW1
NM_001321688.1	BZW1
NM_001321693.1	BZW1
NM_001321691.1	BZW1
NM_001207069.1	BZW1
NM_001207068.2	BZW1
NM_001162407.1	CLK1
NR_027856.1	CLK1
NM_004071.3	CLK1
NR_027855.1	CLK1
NM_032472.3	PPIL3
NM_130906.2	PPIL3
NM_001142355.1	NIF3L1
NM_001136039.2	NIF3L1
NM_021824.3	NIF3L1
NM_001142356.1	NIF3L1
NR_033915.1	ORC2
NM_006190.4	ORC2
NM_001321622.1	FAM126B
NM_001321626.1	FAM126B
NM_001321628.1	FAM126B
NM_001321625.1	FAM126B
NM_001321619.1	FAM126B
NM_001321621.1	FAM126B
NM_001321627.1	FAM126B
NM_001321629.1	FAM126B
NM_001321623.1	FAM126B
NM_173822.4	FAM126B
NM_001321624.1	FAM126B
NM_001321618.1	FAM126B
NM_002491.2	NDUFB3
NM_001257102.1	NDUFB3
NM_001308043.1	CFLAR
NM_001127184.2	CFLAR
NM_001202517.1	CFLAR
NM_001202519.1	CFLAR
NM_001202516.1	CFLAR
NM_003879.5	CFLAR
NM_001127183.2	CFLAR
NM_001308042.1	CFLAR
NM_001202518.1	CFLAR
NM_001202515.1	CFLAR
NR_040030.1	CFLAR-AS1
NM_001306083.1	CASP10
NM_001230.4	CASP10
NM_001206524.1	CASP10
NM_032976.3	CASP10
NM_032977.3	CASP10
NM_001206542.1	CASP10
NM_032974.4	CASP10
NM_033358.3	CASP8
NM_033355.3	CASP8
NM_001080124.1	CASP8
NM_001228.4	CASP8
NM_001080125.1	CASP8
NR_111983.1	CASP8
NM_033356.3	CASP8
NR_110620.1	ALS2CR12
NM_139163.3	ALS2CR12
NM_001127391.2	ALS2CR12
NM_001289993.1	ALS2CR12
NM_015049.2	TRAK2
NM_018571.5	STRADB
NM_001206864.1	STRADB
NM_001168221.1	ALS2CR11
NM_152525.5	ALS2CR11
NM_001168216.1	ALS2CR11
NM_001168217.1	ALS2CR11
NM_152388.3	TMEM237
NM_001044385.2	TMEM237
NM_033066.2	MPP4
NM_020919.3	ALS2
NM_001135745.1	ALS2
NM_139158.2	CDK15
NM_001261436.1	CDK15
NM_001261435.1	CDK15
NM_003507.1	FZD7
NM_001277372.2	KIAA2012
NR_135244.1	LOC729224
NR_135243.1	LOC729224
NM_003352.4	SUMO1
NM_001005781.1	SUMO1
NM_001005782.1	SUMO1
NM_015934.4	NOP58
NR_003058.1	SNORD70
NR_003694.1	SNORD11B
NR_003031.1	SNORD11
NM_001204.6	BMPR2
NM_173511.3	FAM117B
NM_001288623.1	ICA1L
NM_138468.5	ICA1L
NM_001288622.1	ICA1L
NM_001288624.1	ICA1L
NM_018256.3	WDR12
NM_001322429.1	CARF
NR_136331.1	CARF
NM_001322430.1	CARF
NR_136330.1	CARF
NM_001282912.1	CARF
NM_001282910.1	CARF
NM_001104586.2	CARF
NM_001282911.1	CARF
NM_024744.15	CARF
NM_001322427.1	CARF
NM_001322428.1	CARF
NM_001114132.1	NBEAL1
NM_177538.2	CYP20A1
NM_001282932.1	ABI2
NM_005759.5	ABI2
NM_001282926.1	ABI2
NM_001282925.1	ABI2
NM_001282927.1	ABI2
NM_213589.2	RAPH1
NM_203365.3	RAPH1
NM_001329728.1	RAPH1
NM_001243078.1	CD28
NM_001243077.1	CD28
NM_006139.3	CD28
NM_001037631.2	CTLA4
NM_005214.4	CTLA4
NM_012092.3	ICOS
NM_152526.5	PARD3B
NM_057177.6	PARD3B
NM_205863.3	PARD3B
NM_001302769.1	PARD3B
NM_201264.1	NRP2
NM_201267.1	NRP2
NM_018534.3	NRP2
NM_201279.1	NRP2
NM_003872.2	NRP2
NM_201266.1	NRP2
NM_017759.4	INO80D
NR_033248.1	GCSHP3
NM_001199984.1	NDUFS1
NM_005006.6	NDUFS1
NM_001199981.1	NDUFS1
NM_001199983.1	NDUFS1
NM_001199982.1	NDUFS1
NM_021121.3	EEF1B2
NM_001037663.1	EEF1B2
NM_001959.3	EEF1B2
NR_002589.1	SNORD51
NR_002590.1	SNORA41
NM_001261454.1	GPR1
NM_001261455.1	GPR1
NM_001261453.1	GPR1
NM_001261452.1	GPR1
NM_005279.3	GPR1
NM_001098199.1	GPR1
NR_104359.1	GPR1-AS
NM_020923.2	ZDBF2
NM_001285549.1	ZDBF2
NM_003812.3	ADAM23
NM_001102659.2	LOC200726
NM_001093730.1	DYTN
NR_138467.1	MDH1B
NM_001039845.2	MDH1B
NM_001282940.1	MDH1B
NR_104261.1	MDH1B
NM_001330224.1	MDH1B
NR_138468.1	MDH1B
NM_001330223.1	MDH1B
NM_001330226.1	MDH1B
NM_001330225.1	MDH1B
NM_014929.3	FASTKD2
NM_001136193.1	FASTKD2
NM_001136194.1	FASTKD2
NR_036077.1	MIR3130-1
NR_036078.1	MIR3130-2
NM_173077.2	CPO
NM_001270944.1	KLF7
NM_003709.3	KLF7
NR_073108.1	KLF7
NM_001270942.1	KLF7
NM_001270943.1	KLF7
NR_036227.1	MIR2355
NR_106999.1	MIR7845
NR_110283.1	LOC101927865
NR_031633.1	MIR1302-4
NM_001320793.1	CREB1
NM_004379.4	CREB1
NR_135473.1	CREB1
NM_134442.4	CREB1
NM_001330136.1	METTL21A
NM_001330131.1	METTL21A
NM_001308021.2	METTL21A
NM_001330135.1	METTL21A
NM_001330133.1	METTL21A
NM_001330132.1	METTL21A
NM_001330137.1	METTL21A
NM_145280.6	METTL21A
NM_001127395.3	METTL21A
NM_001330130.1	METTL21A
NM_001330134.1	METTL21A
NR_135566.1	LINC01857
NR_135567.1	LINC01857
NM_152523.2	CCNYL1
NM_001142300.1	CCNYL1
NM_001330218.1	CCNYL1
NR_039934.1	MIR4775
NM_003468.3	FZD5
NM_001080475.2	PLEKHM3
NR_038437.1	LOC100507443
NM_006891.3	CRYGD
NM_020989.3	CRYGC
NM_005210.3	CRYGB
NM_014617.3	CRYGA
NM_001099334.2	C2orf80
NM_001282387.1	IDH1
NM_001282386.1	IDH1
NM_005896.3	IDH1
NR_046452.1	IDH1-AS1
NM_152671.3	PIKFYVE
NM_001178000.1	PIKFYVE
NM_015040.3	PIKFYVE
NM_001309516.1	PTH2R
NM_005048.3	PTH2R
NR_136588.1	LOC101927960
NM_001039538.1	MAP2
NM_031845.2	MAP2
NM_031847.2	MAP2
NM_002374.3	MAP2
NM_182587.3	UNC80
NM_032504.1	UNC80
NM_001318930.1	RPE
NM_001278286.1	RPE
NM_001278288.1	RPE
NM_006916.2	RPE
NM_001278285.1	RPE
NM_001318929.1	RPE
NM_199229.2	RPE
NM_001278289.1	RPE
NM_001318927.1	RPE
NM_001318928.1	RPE
NM_001318926.1	RPE
NM_001318931.1	RPE
NM_001278282.1	RPE
NM_001278283.1	RPE
NM_152519.3	KANSL1L
NM_001307976.1	KANSL1L
NR_110291.1	LOC101928020
NM_001608.3	ACADL
NM_079422.2	MYL1
NM_079420.2	MYL1
NR_110606.1	LANCL1-AS1
NR_110605.1	LANCL1-AS1
NR_110604.1	LANCL1-AS1
NM_001136574.1	LANCL1
NM_006055.2	LANCL1
NM_001136575.1	LANCL1
NM_001122633.2	CPS1
NM_001875.4	CPS1
NM_001122634.3	CPS1
NR_002763.2	CPS1-IT1
NM_005235.2	ERBB4
NM_001042599.1	ERBB4
NR_031643.1	MIR548F2
NR_131942.1	LINC01878
NR_131941.1	LINC01878
NR_039936.1	MIR4776-2
NR_039935.1	MIR4776-1
NM_016260.2	IKZF2
NM_001079526.1	IKZF2
NM_001242575.2	LOC100130451
NR_144752.1	LOC100130451
NM_001025436.2	SPAG16
NR_047660.1	SPAG16
NM_024532.4	SPAG16
NR_047659.1	SPAG16
NR_039640.1	MIR4438
NM_001345929.1	VWC2L
NM_001080500.3	VWC2L
NR_047698.1	VWC2L-IT1
NM_000465.3	BARD1
NR_104216.1	BARD1
NM_001282549.1	BARD1
NR_104212.1	BARD1
NM_001282545.1	BARD1
NM_001282543.1	BARD1
NR_104215.1	BARD1
NM_001282548.1	BARD1
NR_110292.1	LOC101928103
NM_015657.3	ABCA12
NR_103740.1	ABCA12
NM_173076.2	ABCA12
NM_004044.6	ATIC
NM_212482.2	FN1
NM_002026.3	FN1
NM_212478.2	FN1
NM_212476.2	FN1
NM_212474.2	FN1
NM_001306129.1	FN1
NM_001306130.1	FN1
NM_001306131.1	FN1
NM_001306132.1	FN1
NM_054034.2	FN1
NR_110607.1	LOC102724849
NR_037195.1	LINC00607
NR_132383.1	LINC01614
NM_018000.2	MREG
NM_018441.5	PECR
NM_001142312.1	TMEM169
NM_138390.3	TMEM169
NM_001142311.1	TMEM169
NM_001142310.1	TMEM169
NM_021141.3	XRCC5
NR_037701.1	LINC01963
NM_020814.2	MARCH4
NM_014140.3	SMARCAL1
NM_001127207.1	SMARCAL1
NM_000998.4	RPL37A
NR_110392.1	LINC01280
NM_001313993.1	IGFBP2
NM_001313992.1	IGFBP2
NM_000597.2	IGFBP2
NM_001313990.1	IGFBP2
NM_000599.3	IGFBP5
NM_003284.3	TNP1
NR_135525.1	LOC105373876
NR_130782.1	LINC01921
NR_133642.1	DIRC3-AS1
NR_026597.1	DIRC3
NM_001308022.1	TNS1
NM_001308023.1	TNS1
NM_022648.5	TNS1
NR_106867.1	MIR6809
NR_135524.1	LOC105373878
NR_034176.1	RUFY4
NR_002712.1	CXCR2P1
NM_198483.3	RUFY4
NM_001168298.1	CXCR2
NM_001557.3	CXCR2
NM_000634.2	CXCR1
NM_152862.2	ARPC2
NM_005731.3	ARPC2
NM_001321950.1	GPBAR1
NM_170699.2	GPBAR1
NM_001077194.1	GPBAR1
NM_001077191.1	GPBAR1
NM_001302545.1	AAMP
NM_001087.4	AAMP
NM_001077399.2	PNKD
NM_015488.4	PNKD
NM_001321427.1	TMBIM1
NM_001321429.1	TMBIM1
NM_001321428.1	TMBIM1
NM_001321430.1	TMBIM1
NM_001321432.1	TMBIM1
NM_001321436.1	TMBIM1
NM_001321433.1	TMBIM1
NM_022152.5	TMBIM1
NM_001321438.1	TMBIM1
NR_135643.1	TMBIM1
NM_001321435.1	TMBIM1
NR_106768.1	MIR6513
NM_022572.4	PNKD
NR_125777.1	CATIP-AS2
NR_106868.1	MIR6810
NM_198559.1	CATIP
NM_001320865.1	CATIP
NR_110573.1	CATIP-AS1
NM_000578.3	SLC11A1
NM_001206878.1	CTDSP1
NM_182642.2	CTDSP1
NM_021198.2	CTDSP1
NR_029500.1	MIR26B
NM_007127.2	VIL1
NM_020935.2	USP37
NM_001271635.1	CNOT9
NR_073390.1	CNOT9
NM_005444.2	CNOT9
NM_001271634.1	CNOT9
NM_032726.3	PLCD4
NR_073600.1	ZNF142
NM_001105537.2	ZNF142
NR_073599.1	ZNF142
NM_001318836.1	BCS1L
NM_001079866.1	BCS1L
NM_001257342.1	BCS1L
NM_001257343.1	BCS1L
NM_004328.4	BCS1L
NM_001257344.1	BCS1L
NM_001320717.1	BCS1L
NM_022453.2	RNF25
NM_001243313.1	STK36
NM_015690.4	STK36
NM_014640.4	TTLL4
NM_000784.3	CYP27A1
NM_017431.2	PRKAG3
NR_128707.1	MIR9500
NM_006522.3	WNT6
NM_025216.2	WNT10A
NR_110238.1	LINC01494
NM_003936.4	CDK5R2
NR_015390.1	LINC00608
NR_024385.1	LINC00608
NM_017521.2	FEV
NM_057093.1	CRYBA2
NM_057094.1	CRYBA2
NR_029867.1	MIR375
NR_046086.1	LOC100129175
NM_194302.3	CFAP65
NM_001278295.1	CFAP65
NM_001278296.1	CFAP65
NM_152389.3	CFAP65
NM_002181.3	IHH
NR_036081.1	MIR3131
NM_024782.2	NHEJ1
NM_001144890.1	SLC23A3
NM_001144889.1	SLC23A3
NM_144712.4	SLC23A3
NM_015680.5	CNPPD1
NR_135629.1	CNPPD1
NM_001321391.1	CNPPD1
NR_135628.1	CNPPD1
NM_001321389.1	CNPPD1
NM_001321390.1	CNPPD1
NM_001321109.1	FAM134A
NM_024293.5	FAM134A
NM_001321110.1	FAM134A
NM_001270998.1	ZFAND2B
NM_001270999.1	ZFAND2B
NM_138802.2	ZFAND2B
NM_005689.2	ABCB6
NM_001077198.2	ATG9A
NR_104255.1	ATG9A
NM_024085.4	ATG9A
NM_001282792.1	ANKZF1
NM_018089.2	ANKZF1
NM_001042410.1	ANKZF1
NM_001286427.1	GLB1L
NM_001286423.1	GLB1L
NM_024506.4	GLB1L
NM_001330215.1	STK16
NM_001008910.3	STK16
NM_001330213.1	STK16
NM_001330214.1	STK16
NM_006000.2	TUBA4A
NM_001278552.1	TUBA4A
NR_003063.1	TUBA4B
NM_001039550.1	DNAJB2
NM_006736.5	DNAJB2
NM_001199764.1	PTPRN
NM_002846.3	PTPRN
NM_001199763.1	PTPRN
NR_029688.1	MIR153-1
NM_001007089.3	RESP18
NM_001319118.1	DNPEP
NM_001319119.1	DNPEP
NM_012100.3	DNPEP
NM_001319120.1	DNPEP
NR_134970.1	DNPEP
NM_001319122.1	DNPEP
NM_001319116.1	DNPEP
NM_001319117.1	DNPEP
NM_001319121.1	DNPEP
NM_001927.3	DES
NM_005876.4	SPEG
NM_001173476.1	SPEG
NM_001286811.1	LOC100996693
NM_013335.3	GMPPA
NM_205847.2	GMPPA
NM_182847.2	ASIC4
NM_018674.5	ASIC4
NM_001195731.1	CHPF
NM_024536.5	CHPF
NM_001303098.1	TMEM198
NM_001005209.2	TMEM198
NR_036082.1	MIR3132
NM_015311.2	OBSL1
NM_001173431.1	OBSL1
NM_001173408.1	OBSL1
NM_002191.3	INHA
NM_052902.3	STK11IP
NM_201574.2	SLC4A3
NM_005070.3	SLC4A3
NR_048551.1	SLC4A3
NM_001326559.1	SLC4A3
NR_036228.1	MIR4268
NM_004438.4	EPHA4
NM_001304537.1	EPHA4
NM_001304536.1	EPHA4
NM_181458.3	PAX3
NM_181459.3	PAX3
NM_181461.3	PAX3
NM_181460.3	PAX3
NM_001127366.2	PAX3
NM_181457.3	PAX3
NM_000438.5	PAX3
NM_013942.4	PAX3
NM_153038.1	CCDC140
NR_136638.1	LOC440934
NR_136642.1	LOC440934
NR_136640.1	LOC440934
NR_136641.1	LOC440934
NR_136639.1	LOC440934
NM_001320834.1	SGPP2
NM_152386.3	SGPP2
NM_001320833.1	SGPP2
NR_130154.1	FARSB
NM_005687.4	FARSB
NM_058165.2	MOGAT1
NM_203372.1	ACSL3
NM_004457.3	ACSL3
NM_080671.3	KCNE4
NM_003469.4	SCG2
NR_110905.1	AP1S3
NM_001039569.1	AP1S3
NR_110906.1	AP1S3
NM_020830.4	WDFY1
NM_022915.3	MRPL44
NR_073116.1	SERPINE2
NM_001136530.1	SERPINE2
NM_006216.3	SERPINE2
NM_001136528.1	SERPINE2
NM_024785.2	FAM124B
NM_001122779.1	FAM124B
NM_001257198.1	CUL3
NM_003590.4	CUL3
NM_001257197.1	CUL3
NM_001290263.1	DOCK10
NM_014689.2	DOCK10
NR_039641.1	MIR4439
NM_020864.1	NYAP2
NR_046102.1	LOC646736
NR_049887.1	MIR5702
NM_005544.2	IRS1
NM_032276.3	RHBDD1
NM_001167608.1	RHBDD1
NM_000092.4	COL4A4
NM_000091.4	COL4A3
NR_102371.1	LOC654841
NR_102266.1	MFF
NM_001277066.1	MFF
NM_001277065.1	MFF
NM_001277064.1	MFF
NM_001277062.1	MFF
NM_001277063.1	MFF
NM_001277061.1	MFF
NM_020194.5	MFF
NM_001277068.1	MFF
NM_001277067.1	MFF
NM_024795.4	TM4SF20
NR_049888.1	MIR5703
NM_001135189.1	AGFG1
NM_001135188.1	AGFG1
NM_004504.4	AGFG1
NM_001135187.1	AGFG1
NM_001162483.1	C2orf83
NM_020161.3	C2orf83
NM_025243.3	SLC19A3
NM_001130046.1	CCL20
NM_004591.2	CCL20
NM_178821.2	DAW1
NR_138459.1	DAW1
NM_001330004.1	DAW1
NM_001142644.1	SPHKAP
NM_030623.3	SPHKAP
NM_001330156.1	PID1
NM_017933.4	PID1
NM_001330158.1	PID1
NM_001100818.1	PID1
NM_001330157.1	PID1
NM_139072.3	DNER
NM_001284215.1	TRIP12
NM_001284214.1	TRIP12
NM_004238.2	TRIP12
NM_001284216.1	TRIP12
NM_174899.4	FBXO36
NM_152527.4	SLC16A14
NM_080424.2	SP110
NM_004509.3	SP110
NM_004510.3	SP110
NM_001185015.1	SP110
NM_001005176.2	SP140
NM_001278453.1	SP140
NM_001278452.1	SP140
NM_001278451.1	SP140
NM_007237.4	SP140
NM_138402.4	SP140L
NM_001308163.1	SP140L
NM_001308162.1	SP140L
NM_001206703.1	SP100
NM_001206702.1	SP100
NM_001206701.1	SP100
NM_003113.3	SP100
NM_001080391.1	SP100
NM_001206704.1	SP100
NR_040038.1	LINC01907
NM_016289.3	CAB39
NM_001130850.1	CAB39
NM_001130849.1	CAB39
NM_001287240.1	ITM2C
NM_001287241.1	ITM2C
NM_001012514.2	ITM2C
NM_030926.5	ITM2C
NM_001012516.2	ITM2C
NR_038238.1	LOC151484
NM_005683.3	GPR55
NR_033879.1	SPATA3-AS1
NM_139073.3	SPATA3
NM_001144994.1	C2orf72
NR_034059.1	PSMD1
NM_001191037.1	PSMD1
NM_002807.3	PSMD1
NM_000867.4	HTR2B
NM_001320758.1	HTR2B
NM_001291656.1	ARMC9
NM_025139.5	ARMC9
NM_001271466.2	ARMC9
NR_039937.1	MIR4777
NM_145236.2	B3GNT7
NM_005381.2	NCL
NR_002921.1	SNORA75
NR_002908.1	SNORD20
NR_004398.1	SNORD82
NR_024079.1	LINC00471
NM_006056.4	NMUR1
NM_152614.2	TEX44
NM_002823.4	PTMA
NM_001099285.1	PTMA
NR_036052.1	MIR1244-1
NM_002601.3	PDE6D
NM_001291018.1	PDE6D
NR_110994.1	PDE6D
NM_001282949.2	COPS7B
NM_001282951.2	COPS7B
NM_001282952.2	COPS7B
NM_022730.3	COPS7B
NM_001282950.2	COPS7B
NM_001308381.1	COPS7B
NR_031717.1	MIR1471
NM_024409.3	NPPC
NM_001257282.1	DIS3L2
NR_046476.1	DIS3L2
NM_152383.4	DIS3L2
NR_046477.1	DIS3L2
NM_001257281.1	DIS3L2
NR_030288.1	MIR562
NM_001632.4	ALPP
NR_028501.1	ECEL1P2
NM_031313.2	ALPPL2
NM_001631.4	ALPI
NM_004826.3	ECEL1
NM_001290787.1	ECEL1
NM_001195129.1	PRSS56
NM_001256657.1	CHRND
NM_001311196.1	CHRND
NM_001311195.1	CHRND
NM_000751.2	CHRND
NM_005199.4	CHRNG
NM_145702.2	TIGD1
NR_049797.1	MIR5001
NM_001330201.1	EIF4E2
NM_004846.3	EIF4E2
NM_001276337.1	EIF4E2
NM_001330203.1	EIF4E2
NM_001276336.1	EIF4E2
NM_001282958.1	EIF4E2
NM_001330202.1	EIF4E2
NM_001243252.1	EFHD1
NM_025202.3	EFHD1
NM_001308395.1	EFHD1
NR_103495.1	GIGYF2
NR_103494.1	GIGYF2
NR_103493.1	GIGYF2
NM_001103148.1	GIGYF2
NM_001103146.1	GIGYF2
NM_001103147.1	GIGYF2
NM_015575.3	GIGYF2
NR_103492.1	GIGYF2
NM_002242.4	KCNJ13
NM_001172416.1	KCNJ13
NM_001172417.1	KCNJ13
NM_001346122.1	C2orf82
NM_001346120.1	C2orf82
NM_206895.2	C2orf82
NM_001346121.1	C2orf82
NR_144371.1	C2orf82
NR_144372.1	C2orf82
NM_001114090.1	NGEF
NM_019850.2	NGEF
NR_136325.1	LOC101928881
NM_005383.2	NEU2
NM_005541.4	INPP5D
NM_001017915.2	INPP5D
NM_001190266.1	ATG16L1
NM_198890.2	ATG16L1
NM_001190267.1	ATG16L1
NM_017974.3	ATG16L1
NM_030803.6	ATG16L1
NR_003008.2	SCARNA5
NR_003006.1	SCARNA6
NM_000541.4	SAG
NM_152879.2	DGKD
NM_003648.2	DGKD
NM_018218.2	USP40
